#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
Branches,-6.764244,7.452106,6.979635,-0.7057621,-0.04358758,-0.04358758,0.7057621,
Tree_03_Vertex,-6.38,-0.92,7.24,0,-0.06164214,0,0.9980984,transform_position
Cardboard2,0.908015,0.4248173,-4.030036,0.0156228,0.7069342,0.7069342,-0.0156228,
Cardboard,0.9200001,1.023977,-4.049972,-0.7071068,0,0,0.7071068,
SilverBirchTrunk_02_LOD0,-0.9478454,4.303342,-9.883368,6.657903E-08,0,0,1,
SilverBirchBranches_02_LOD0,-1.168524,6.742382,-9.935923,6.657903E-08,0,0,1,
SilverBirch_02_Vertex,-1.05,0,-9.78,0,0,0,1,transform_position
Elvengen_Glass,-10.42578,3.298723,-1.407405,0,0.7071068,0.7071068,0,
Elvengen,-10.42578,3.146379,-1.488897,0,0.7071068,0.7071068,0,
Elvengen,-10.426,3.162,-1.4648,0,1,0,0,transform_position
Branas,-16.94,2.160143,-6.3408,-0.5000001,0.5,0.4999999,0.5000001,
Stones2,-1.279342,0.01892368,-7.197426,-0.7071068,0,0,0.7071068,
Nimo_Line,-14.40469,3.530255,-5.205934,-0.7071068,0,0,0.7071068,
Nimo_Lampshade,-14.40369,3.001154,-5.20622,-0.7071068,0,0,0.7071068,
Nimo_Bulb,-14.40337,3.089832,-5.210057,-0.7071068,0,0,0.7071068,
Nimo,-14.40369,3.001154,-5.20622,-0.7071068,0,0,0.7071068,
Nimo,-14.404,2.791,-5.21,0,0,0,1,transform_position
Livslang_Tall,-1.474,3.948451,-3.1644,-0.703972,0.06650811,0.06650811,0.703972,
Livslang_Short,-1.583,3.888035,-3.1718,-0.692305,-0.143923,-0.143923,0.692305,
Livslang,-1.413,3.8484,-3.17,0,0,0,1,transform_position
Ypperlig_Chair,-15.53503,1.37656,-0.09087303,-0.5072538,0.4926394,0.4926396,0.5072537,
Hemnes_Living_Glass,-16.74875,1.995873,-6.135999,-0.5000001,0.5000001,0.5000001,0.5000001,
Hemnes_Living,-16.899,1.948428,-6.136001,-0.5000001,0.5000001,0.5000001,0.5000001,
Hemnes_Living,-16.899,0.9614279,-6.136,0,0.7071068,0,0.7071068,transform_position
Base,-17.063,2.395225,0.3829999,-0.7071068,0,0,0.7071068,
Dish,-17.05056,2.636517,0.3830257,-0.7071068,-1.481725E-09,1.481725E-09,0.7071068,
Dish,-17.063,2.363816,0.383,0,0,0,1,transform_position
SpotLightWardrobe_Led,-3.514425,2.697122,-1.686063,9.974801E-08,0.7071067,-9.974799E-08,0.7071068,
SpotLightWardrobe,-3.514,2.697492,-1.686,9.974801E-08,0.7071067,-9.974799E-08,0.7071068,
SpotLightWardrobe,-3.514,2.7002,-1.686,0,0,0,1,transform_position
Candles_Set_Pot,-0.08608329,3.721834,-1.185985,-0.6817153,-0.1877884,-0.1877883,0.6817152,
Candles_Set_Tall,0.04999999,3.818239,-1.258051,-0.7021475,0.08359963,0.08359963,0.7021475,
Candles_Set_Short,0.0341756,3.770729,-1.068023,-0.7021475,0.08359963,0.08359963,0.7021475,
Candle_Set2,0.05,3.643,-1.258051,0,0.1182277,0,0.9929865,transform_position
Hektar_Bulb,-16.29377,2.692731,-1.326109,-0.1083886,0.6987503,0.6987503,0.1083886,
Hektar,-16.35772,1.926598,-1.354635,-0.1083886,0.6987503,0.6987503,0.1083886,
Hektar,-16.45,0.961,-1.379,0,0.9881821,0,0.1532846,transform_position
Sinnerlig_wood,-5.422,3.612387,-3.700995,-0.7071067,0,0,0.7071068,
Sinnerlig_Cable,-5.423502,4.686762,-3.704203,-0.7071067,0,0,0.7071068,
Sinnerlig_Bulb,-5.424762,3.676058,-3.704262,-0.7071067,0,0,0.7071068,
Sinnerlig,-5.422898,3.612261,-3.701653,-0.7071067,0,0,0.7071068,
Sinnerlig,-5.422,3.306,-3.701,0,0,0,1,transform_position
Books,-3.625375,1.286366,-2.0667,-0.5,-0.5,-0.5,0.5,
Branas,0.5735596,3.4945,-1.17511,-0.707032,-0.01028848,-0.01028848,0.707032,
Props_Vase4,-8.8647,2.185925,-7.2152,-0.7071068,-1.053671E-08,1.053671E-08,0.7071068,
Books,4.0787,3.623041,-2.204,0.7071068,0.7071068,1.545431E-08,1.545431E-08,
Ivy3_Plane,-5.208786,2.004763,-7.286035,-0.7071068,0,0,0.7071068,
Stones3,-5.276342,0.01892368,-7.202492,-0.7071068,0,0,0.7071068,
Base,-17.063,2.395225,0.891048,-0.7071068,0,0,0.7071068,
Dish,-17.05056,2.636517,0.8910738,-0.7071068,-1.481725E-09,1.481725E-09,0.7071068,
Dish,-17.063,2.363816,0.8910481,0,0,0,1,transform_position
Vase1_Branch,-6.128845,1.292513,-4.312517,0.01454622,-0.7069572,0.706957,0.01454625,
Vase1,-6.103528,1.016176,-4.247917,-0.5101799,-0.4896085,-0.4896085,0.5101799,
Vase1,-6.0853,0.8923,-4.247917,0,-0.6924109,0,0.7215033,transform_position
Ypperlig_Bench,-9.09,1.191109,-0.4517334,-0.7071068,0,0,0.7071068,
Book,-16.9384,2.162092,-5.8751,-0.5,0.5,0.5,0.5,
Handle2,-2.295,3.666017,1.421999,0,0.7071068,0.7071068,0,
Handle1,-3.2103,3.3105,1.421999,0,0.7071068,0.7071068,0,
Door4,-0.04940009,3.307546,1.438,0,0.7071068,0.7071068,0,
Door3,-0.8220001,3.664384,1.438,0,0.7071068,0.7071068,0,
Door2,-2.295,3.66615,1.437999,0,0.7071068,0.7071068,0,
Door1,-3.3503,3.310444,1.437999,0,0.7071068,0.7071068,0,
Kallax_Doors (1),-2.354,3.143,1.438,0,1,0,0,transform_position
Gladom,-15.89209,1.223508,-6.658092,-0.6532815,0.2705981,0.2705981,0.6532815,
Plastic_Chair_Leg,-9.959723,1.177147,-5.329754,-0.7071068,0,0,0.7071068,
Plastic_Chair_Seat,-9.959574,1.586259,-5.328735,-0.7071068,0,0,0.7071068,
Plastic_Chair,-9.959574,0.9614277,-5.329,0,0,0,1,transform_position
Knod,-2.762,3.193715,-0.9080554,-0.7071068,0,0,0.7071068,
Books2 (6),-2.629477,1.838121,1.603908,-0.7071068,5.298853E-05,5.298853E-05,0.7071068,
Burvik,-14.826,1.37315,-4.81,0.009855679,-0.7070381,-0.7070381,-0.009855679,
Books,-2.760188,4.038706,1.593994,-0.0001087636,0.7071068,0.7071068,0.0001087636,
Gladom,-14.95177,1.223508,-5.443848,-0.6977193,0.1148382,0.1148382,0.6977193,
Books,4.0551,3.940561,-2.256464,-0.4777144,-0.4777144,-0.5213338,0.5213338,
Hallstavik_Door,-9.894956,1.701578,-7.088467,-0.7071068,7.345142E-05,7.345142E-05,0.7071068,
Hallstavik,-9.895007,1.651287,-7.297284,-0.7071068,7.362E-05,7.328283E-05,0.7071068,
Hallstavik,-9.895,0.961,-7.266,0,0.000103876,0,1,transform_position
Books,-17.009,1.460598,-2.52,-0.5000001,-0.5,0.5000001,0.5,
Books,0.5861,4.659651,-1.159132,-0.5,-0.5,-0.5,0.5,
Plastic_Chair_Leg,-9.328148,1.177147,-5.329754,-0.7071068,0,0,0.7071068,
Plastic_Chair_Seat,-9.328,1.586259,-5.328735,-0.7071068,0,0,0.7071068,
Plastic_Chair,-9.328,0.9614277,-5.329,0,0,0,1,transform_position
Pello_Wood,-0.5170891,0.6441978,0.6241674,-0.580281,0.4040717,0.4040718,0.580281,
Pello_Cloth,-0.5675496,0.800572,0.6098845,-0.580281,0.4040718,0.4040718,0.580281,
Pello,-0.561,0.1935115,0.607,0,-0.8206413,0,0.5714437,transform_position
Books,-15.8906,1.705816,-1.385,-0.5017735,-0.5017735,0.4982202,0.4982202,
Lauter,1.152995,3.857458,0.9775094,-0.7071068,0,0,0.7071068,
Branches,-1.518973,4.247631,-3.232162,0.07463341,-0.7031575,0.7031567,0.07463352,
Ivy1_Plane,3.699373,2.023989,-7.270289,-0.7071068,0,0,0.7071068,
Lauter,3.426332,3.857458,0.9766961,-0.6426613,-0.2949347,-0.2949347,0.6426613,
Book,-16.9398,1.570798,-4.5379,0,0,-0.7071068,-0.7071068,
Livslang_Tall,-16.9184,1.874449,-5.356,-0.7071068,0,0,0.7071068,
Livslang_Short,-16.902,1.81562,-5.487,-0.7071068,0,0,0.7071068,
Livslang,-16.902,1.7635,-5.487,0,0,0,1,transform_position
Stocksund,2.293978,3.23491,-1.358058,0,0.7071068,0.7071068,0,
Mirror,0.3817735,4.545399,-3.640614,5.760404E-08,0.7070718,-5.759832E-08,0.7071418,
Books,2.9193,3.872871,1.0901,-0.5,-0.5,-0.5,0.5,
Book,-16.933,2.444661,-4.1923,-0.5,-0.5,-0.5,0.5,
Knod,-7.034223,0.4172396,0.4369308,-0.7071068,0,0,0.7071068,
Stockholm_Glass,-16.9492,2.038944,-2.814578,-0.5000286,0.4999715,0.4999715,0.5000286,
Stockholm,-16.93802,1.85891,-2.81498,-0.5000286,0.4999715,0.4999715,0.5000286,
Stockholm,-16.938,0.961,-2.815,0,0.7070665,0,0.7071471,transform_position
Ypperlig_Chair,-13.19788,1.37656,-0.09090275,0.5060347,0.4938914,0.4938915,-0.506035,
Mac_Keyboard,-1.791854,3.740794,-0.7577937,-0.0436193,0,0,0.9990482,
Mac_Mouse,-2.045854,3.745428,-0.7516293,-0.0436193,0,0,0.9990482,
Mac,-1.791854,3.992192,-1.1022,-0.0436193,0,0,0.9990482,
Mac,-1.791854,3.732028,-1.051,0,0,0,1,transform_position
Books,-16.427,1.9878,1.887489,-0.7071068,-5.683676E-05,-5.683676E-05,0.7071068,
Books,1.7027,3.872871,1.0901,-0.5,-0.5,-0.5,0.5,
